year_month,source_medium,sessions,engaged_sessions,purchases,revenue,users
202606,chatgpt.com / (not set),16,7,1,89.0,10
202606,redirect-euw1.ppro.com / referral,16,6,1,114.0,9
202506,qwant.com / organic,15,11,0,0.0,11
202508,search.lilo.org / referral,15,12,0,0.0,13
202509,klarna / referral,15,10,3,590.19,10
202510,listy.fr / referral,15,11,1,80.1,5
202510,search.brave.com / referral,15,11,0,0.0,13
202510,statics.teams.cdn.office.net / referral,15,8,0,0.0,6
202511,le-petit-lunetier.shipping-portal.com / referral,15,10,0,0.0,11
202511,milirose.com / referral,15,6,0,0.0,10
202506,chatgpt.com / (not set),14,11,0,0.0,13
202506,chatgpt.com / referral,14,12,0,0.0,13
202506,poulpeo.com / referral,14,7,0,0.0,7
202507,search.lilo.org / referral,14,10,0,0.0,9
202510,fr.pinterest.com / referral,14,9,0,0.0,11
202507,klarna / referral,13,10,0,0.0,12
202507,l.wl.co / referral,13,6,0,0.0,4
202509,commeuncamion.com / referral,13,9,0,0.0,11
202509,search.lilo.org / referral,13,12,0,0.0,12
202510,le-petit-lunetier.shipping-portal.com / referral,13,7,0,0.0,9
202510,search.lilo.org / referral,13,9,0,0.0,9
202510,youtube.com / referral,13,10,0,0.0,11
202601,chatgpt.com / referral,13,8,0,0.0,7
202601,le-petit-lunetier.typeform.com / referral,13,8,0,0.0,4
202603,m.facebook.com / referral,13,2,0,0.0,12
202605,Facebook / Paid Social,13,8,0,0.0,3
202507,dealabs.com / referral,12,8,0,0.0,4
202507,search.brave.com / referral,12,9,0,0.0,10
202508,fr.igraal.com / referral,12,4,0,0.0,7
202508,instagram.com / referral,12,9,1,129.0,12
202509,le-petit-lunetier.shipping-portal.com / referral,12,8,0,0.0,5
202511,lepetitlunetier.couponasion.com / referral,12,5,0,0.0,2
202512,fr.search.yahoo.com / referral,12,10,1,89.0,5
202601,listy.fr / referral,12,5,0,0.0,1
202602,m.facebook.com / referral,12,4,0,0.0,12
202602,redirect.ppro.com / referral,12,4,2,124.99,7
202602,xxxxx / xxxxx,12,5,0,0.0,4
202605,back-in-stock / email,12,5,1,98.0,4
202510,commeuncamion.com / referral,11,7,0,0.0,10
202510,klarna / referral,11,7,0,0.0,9
202511,shop_app / (not set),11,1,0,0.0,7
202512,influenceur.promo / referral,11,4,0,0.0,8
202512,mail.google.com / referral,11,8,0,0.0,1
202602,IGShopping / Social,11,5,0,0.0,9
202602,shop_app / (not set),11,8,0,0.0,7
202605,(not set) / paid,11,6,0,0.0,8
202507,forum.borasification.com / referral,10,9,0,0.0,8
202508,yahoo / organic,10,7,0,0.0,7
202508,zipchat / chat_bubble,10,6,0,0.0,5
202509,listy.fr / referral,10,8,0,0.0,7
202510,redirect.ppro.com / referral,10,5,0,0.0,7
202512,ONLINE - Footer site - Welcome / email,10,3,0,0.0,3
202512,l.instagram.com / referral,10,4,0,0.0,7
202601,redirect-euw1.ppro.com / referral,10,2,1,55.99,7
202603,psbe-le-petit-lunetier.odoo.com / referral,10,5,0,0.0,2
202604,(not set) / paid,10,3,0,0.0,9
202605,crm / whatsapp_,10,6,0,0.0,8
202507,facebook / paid,9,4,0,0.0,8
202507,fr.igraal.com / referral,9,4,1,80.1,7
202508,admin.upservices.upfeat.io / referral,9,7,0,0.0,1
202508,fr.pinterest.com / referral,9,8,0,0.0,8
202508,klarna / referral,9,8,0,0.0,6
202509,Account Activation / email,9,4,0,0.0,4
202509,admin.upservices.upfeat.io / referral,9,8,0,0.0,2
202509,l.wl.co / referral,9,4,0,0.0,3
202511,perplexity / (not set),9,5,0,0.0,8
202601,ma-reduc.com / referral,9,4,1,89.0,4
202602,app.sendcloud.com / referral,9,6,0,0.0,1
202604,google / product_sync,9,3,0,0.0,7
202506,duckduckgo / organic,8,5,0,0.0,7
202506,facebook.com / referral,8,6,0,0.0,8
202508,dealabs.com / referral,8,6,0,0.0,6
202508,lm.facebook.com / referral,8,5,0,0.0,6
202508,pinterest.com / referral,8,3,0,0.0,8
202510,public.fr / referral,8,2,0,0.0,3
202510,thegoodlist.fr / referral,8,6,0,0.0,6
202510,yahoo / organic,8,7,2,127.64,5
202511,klarna / referral,8,5,0,0.0,7
202511,search.lilo.org / referral,8,5,0,0.0,7
202512,le-petit-lunetier.shipping-portal.com / referral,8,6,1,89.0,4
202601,fr.search.yahoo.com / referral,8,6,0,0.0,5
202601,test-store20.myshopify.com / referral,8,7,0,0.0,2
202506,adsmanager.facebook.com / Paid Social,7,5,0,0.0,1
202507,admin.shopify.com / referral,7,7,0,0.0,1
202507,shop_app / (not set),7,2,0,0.0,3
202508,cap3000.com / referral,7,3,0,0.0,3
202508,lepetitlunetier.couponasion.com / referral,7,4,1,140.65,1
202509,dealabs.com / referral,7,7,0,0.0,2
202509,marieclaire.be / referral,7,7,0,0.0,7
202510,ebuyclub.com / referral,7,3,0,0.0,4
202511,l.wl.co / referral,7,5,0,0.0,3
202511,marieclaire.fr / referral,7,3,0,0.0,3
202511,poulpeo.com / referral,7,5,1,229.1,3
202511,youcare.world / referral,7,5,0,0.0,5
202601,web-mail.laposte.net / referral,7,5,1,49.0,1
202603,yahoo / organic,7,4,0,0.0,4
202604,ecommerce-gateway.mollie.com / referral,7,2,1,55.99,2
202604,m.facebook.com / referral,7,2,0,0.0,7
202604,yahoo / organic,7,6,0,0.0,6
202605,yahoo / organic,7,6,0,0.0,6
202506,dealspotr.com / referral,6,2,0,0.0,3
202507,admin.upservices.upfeat.io / referral,6,6,0,0.0,1
202507,fr.pinterest.com / referral,6,5,0,0.0,5
202507,linkedin.com / referral,6,4,0,0.0,6
202507,mail.google.com / referral,6,2,0,0.0,4
202507,outlook.live.com / referral,6,4,0,0.0,5
202507,perplexity / (not set),6,5,0,0.0,6
202508,marieclaire.fr / referral,6,4,0,0.0,5
202508,statics.teams.cdn.office.net / referral,6,5,0,0.0,5
202509,fr.igraal.com / referral,6,2,0,0.0,4
202509,linktr.ee / referral,6,2,0,0.0,6
202509,perplexity.ai / referral,6,2,0,0.0,3
202509,youcare.world / referral,6,5,0,0.0,3
202510,admin.upservices.upfeat.io / referral,6,6,0,0.0,1
202510,app.judge.me / referral,6,2,0,0.0,1
202510,poulpeo.com / referral,6,2,1,129.0,4
202511,Facebook / Paid Social,6,4,0,0.0,6
202511,admin.upservices.upfeat.io / referral,6,6,0,0.0,4
202511,commeuncamion.com / referral,6,5,0,0.0,6
202511,emea.search.yahoo.com / referral,6,3,0,0.0,1
202511,public.fr / referral,6,3,0,0.0,2
202511,thegoodlist.fr / referral,6,6,0,0.0,6
202512,(data not available),6,3,1,114.0,5
202601,mail.google.com / referral,6,5,0,0.0,4
202601,productregistry.org / referral,6,0,0,0.0,6
202602,yahoo / organic,6,5,0,0.0,4
202603,Pinterest / organic,6,3,0,0.0,6
202603,shop_app / (not set),6,6,0,0.0,4
202603,xxxxx / xxxxx,6,2,0,0.0,5
202605,IGShopping / Social,6,2,0,0.0,5
202606,IGShopping / Social,6,3,0,0.0,5
202606,crm / whatsapp_,6,1,0,0.0,4
202606,trustpilot / company_profile,6,3,1,49.0,3
202506,l.instagram.com / Influenceur,5,2,0,0.0,4
202507,listy.fr / referral,5,3,0,0.0,3
202507,meta.com / referral,5,3,0,0.0,4
202507,nl.search.yahoo.com / referral,5,1,0,0.0,1
202507,redirect.ppro.com / referral,5,4,0,0.0,3
